Timber Ratio,Furnace Area,Test Time,Fuel Consumption
0.06,90.0,1.0,53728965745.8,
0.06,90.0,0.75,50222495394.3,
0.06,90.0,0.5,45919321118.2,
0.06,90.0,0.25,39623948958.5,
0.06,110.0,2.0,1.08897186361e+11,
0.06,110.0,1.75,1.05504326654e+11,
0.06,110.0,1.5,1.01899154856e+11,
0.06,110.0,1.25,97975519419.7,
0.06,110.0,1.0,93566728590.3,
0.06,110.0,0.75,88357457063.2,
0.06,110.0,0.5,81641914837.9,
0.06,110.0,0.25,71222308850.6,
0.07,130.0,2.0,1.69915146833e+11,
0.07,130.0,1.75,1.65666950331e+11,
0.07,130.0,1.5,1.6103196486e+11,
0.07,130.0,1.25,1.55837415653e+11,
0.07,130.0,1.0,1.49809668558e+11,
0.07,130.0,0.75,1.42429017847e+11,
0.07,130.0,0.5,1.32531498425e+11,
0.07,130.0,0.25,1.16479365079e+11,
0.07,110.0,2.0,1.07131397117e+11,
0.07,110.0,1.75,1.03970680429e+11,
0.07,110.0,1.5,1.00599434602e+11,
0.07,110.0,1.25,96911296157.8,
0.07,110.0,1.0,92740723330.4,
0.07,110.0,0.75,87773894506.0,
0.07,110.0,0.5,81302532597.0,
0.07,110.0,0.25,71123327255.4,
0.07,70.0,2.0,35656068491.5,
0.07,70.0,1.75,33691545111.2,
0.07,70.0,1.5,31711512532.7,
0.07,70.0,1.25,29690920553.6,
0.07,70.0,1.0,27587060640.6,
0.07,70.0,0.75,25322332510.9,
0.07,70.0,0.5,22720248402.3,
0.07,70.0,0.25,19233627257.7,
0.07,100.0,2.0,83168545058.0,
0.07,100.0,1.75,80414652716.6,
0.07,100.0,1.5,77516825183.5,
0.07,100.0,1.25,74394750191.6,
0.07,100.0,1.0,70924509239.1,
0.07,100.0,0.75,66871554339.1,
0.07,100.0,0.5,61703446369.9,
0.07,100.0,0.25,53767726780.5,
0.07,120.0,2.0,1.35899634728e+11,
0.07,120.0,1.75,1.3224394568e+11,
0.07,120.0,1.5,1.28297128409e+11,
0.07,120.0,1.25,1.23922124582e+11,
0.07,120.0,1.0,1.18903799094e+11,
0.07,120.0,0.75,1.12833650687e+11,
0.07,120.0,0.5,1.04793928515e+11,
0.07,90.0,2.0,63567073985.0,
0.07,120.0,0.25,91922846226.6,
0.07,90.0,1.75,61141614824.5,
0.07,90.0,1.5,58625898814.0,
0.07,90.0,1.25,55961360452.0,
0.07,90.0,1.0,53058697728.8,
0.07,90.0,0.75,49748213876.6,
0.07,90.0,0.5,45642756747.6,
0.07,90.0,0.25,39542963834.2,
0.07,80.0,2.0,47880039639.9,
0.07,80.0,1.75,45714589711.6,
0.07,80.0,1.5,43500924056.7,
0.07,80.0,1.25,41198436721.6,
0.07,80.0,1.0,38745888635.3,
0.07,80.0,0.75,36025029197.2,
0.07,80.0,0.5,32766443241.5,
0.07,80.0,0.25,28135957740.2,
0.08,80.0,2.0,46617427540.7,
0.08,80.0,1.75,44618841185.4,
0.08,80.0,1.5,42572703676.2,
0.08,80.0,1.25,40438160895.1,
0.08,80.0,1.0,38154666895.8,
0.08,80.0,0.75,35605993333.2,
0.08,80.0,0.5,32521485643.0,
0.08,80.0,0.25,28063970481.9,
0.08,70.0,2.0,34551651048.8,
0.08,70.0,1.75,32735059475.3,
0.08,70.0,1.5,30902354120.4,
0.08,70.0,1.25,29028204535.9,
0.08,70.0,1.0,27072241234.3,
0.08,70.0,0.75,24957476845.2,
0.08,70.0,0.5,22506676149.3,
0.08,70.0,0.25,19170640521.2,
0.08,90.0,2.0,62141893112.1,
0.08,90.0,1.75,59903573937.6,
0.08,90.0,1.5,57576307323.7,
0.08,90.0,1.25,55101515587.7,
0.08,90.0,1.0,52390066068.0,
0.08,90.0,0.75,49274636931.7,
0.08,90.0,0.5,45366364802.1,
0.08,90.0,0.25,39461977453.1,
0.07,140.0,2.0,2.09618398089e+11,
0.07,140.0,1.75,2.04671094624e+11,
0.07,140.0,1.5,1.99225204178e+11,
0.07,140.0,1.25,1.93066791554e+11,
0.07,140.0,1.0,1.85853969494e+11,
0.07,140.0,0.75,1.76938075249e+11,
0.07,140.0,0.5,1.64869084673e+11,
0.07,140.0,0.25,1.45105965559e+11,
0.08,110.0,2.0,1.05372471996e+11,
0.08,110.0,1.75,1.02442110607e+11,
0.08,110.0,1.5,99303325283.6,
0.08,110.0,1.25,95849581073.4,
0.08,110.0,1.0,91916066720.5,
0.08,110.0,0.75,87190903145.1,
0.08,110.0,0.5,80963285169.4,
0.08,110.0,0.25,71024344632.2,
0.07,150.0,2.0,2.55448925913e+11,
0.07,150.0,1.75,2.49687089972e+11,
0.07,150.0,1.5,2.43297626266e+11,
0.07,150.0,1.25,2.36019546071e+11,
0.07,150.0,1.0,2.27432174127e+11,
0.07,150.0,0.75,2.16738841084e+11,
0.07,150.0,0.5,2.02160520134e+11,
0.07,150.0,0.25,1.78115729694e+11,
0.08,100.0,2.0,81577518748.7,
0.08,100.0,1.75,79032039569.4,
0.08,100.0,1.5,76344405772.3,
0.08,100.0,1.25,73434247999.8,
0.08,100.0,1.0,70177974425.9,
0.08,100.0,0.75,66343290787.5,
0.08,100.0,0.5,61395618368.2,
0.08,100.0,0.25,53677742055.2,
0.08,150.0,2.0,2.53010529765e+11,
0.08,150.0,1.75,2.47569714811e+11,
0.08,150.0,1.5,2.41503877657e+11,
0.08,150.0,1.25,2.34551704967e+11,
0.08,150.0,1.0,2.26294854009e+11,
0.08,150.0,0.75,2.15937182184e+11,
0.08,150.0,0.5,2.01695817166e+11,
0.08,150.0,0.25,1.77980757212e+11,
0.09,90.0,2.0,60724588525.3,
0.09,90.0,1.75,58671385227.5,
0.09,90.0,1.5,56530877296.9,
0.09,90.0,1.25,54244647301.8,
0.09,90.0,1.0,51723084156.7,
0.09,90.0,0.75,48801769136.7,
0.09,90.0,0.5,45090146398.4,
0.09,90.0,0.25,39380989810.6,
0.09,80.0,2.0,45363083008.1,
0.09,80.0,1.75,43529295843.3,
0.09,80.0,1.5,41648929042.1,
0.09,80.0,1.25,39681197044.5,
0.09,80.0,1.0,37565273080.7,
0.09,80.0,0.75,35187754412.7,
0.09,80.0,0.5,32276727963.8,
0.09,80.0,0.25,27991981808.9,
0.08,120.0,2.0,1.33971589989e+11,
0.08,120.0,1.75,1.30568624708e+11,
0.08,120.0,1.5,1.26876852674e+11,
0.08,120.0,1.25,1.22758939039e+11,
0.08,120.0,1.0,1.1800094581e+11,
